Data de fim:;2025-03-28 23:59
Data de início:;2025-03-28 11:25

Número total de resultados da pesquisa:;8494

Operação;Entidade;Área central;Estado;Diagnóstico;Criticidade;Utilizador;Data pedido;Duração
Regime de Propriedade;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:39;
Estado ONT por PON;;;Em progresso;;;FSync1;2025-03-28 11:28:39;
Regime de Propriedade;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:39;
Estado do ONT;1702079679;;Em progresso;;;FSync4;2025-03-28 11:28:39;
Consulta Produtos e Serviços;1702914432;;Pronto;;;ivr;2025-03-28 11:28:39;00:00
Consulta Produtos e Serviços;265734259;;Pronto;;;ivr;2025-03-28 11:28:39;00:00
Consulta de eventos de RR;265734259;;Em progresso;;;ivr;2025-03-28 11:28:39;
Diagnóstico HGW;265734259;;Em progresso;;;ivr;2025-03-28 11:28:39;
Consulta de informação no Radius Rede;265734259;;Pronto;;;ivr;2025-03-28 11:28:39;00:00
Consulta de informação no SR Cliente;265734259;;Em progresso;;;ivr;2025-03-28 11:28:39;
Diagnóstico STB;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Diagnóstico STB;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Diagnóstico STB;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Diagnóstico STB;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Diagnóstico STB;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
DMZ Host;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Estado IP Framed-Route;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Consulta Devices;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:38;00:00
Diagnóstico Smart Wi-Fi;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Consulta de Controlo Parental;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Diagnóstico global STB;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Consulta Produtos e Serviços;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Consulta de eventos de RR;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Consulta Produtos e Serviços;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Diagnóstico HGW;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Consulta de informação no Radius Rede;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Consulta de informação no SR Cliente;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Informação de cliente;1704222570;;Pronto;;;SGN;2025-03-28 11:28:38;00:00
DMZ Host;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Estado IP Framed-Route;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Diagnóstico Smart Wi-Fi;265734259;;Falha de sistema externo;;;ivr;2025-03-28 11:28:38;00:00
Consulta Devices;265734259;;Pronto;;;ivr;2025-03-28 11:28:38;00:00
Consulta de Controlo Parental;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Diagnóstico global STB;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Diagnóstico STB;227819301;;Falha de sistema externo;;Avisos;XITCC22;2025-03-28 11:28:38;00:01
Diagnóstico STB;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Diagnóstico STB;227819301;;Falha de sistema externo;;Avisos;XITCC22;2025-03-28 11:28:38;00:01
Informação de cliente;1702327555;;Pronto;;;netq;2025-03-28 11:28:38;00:00
Consulta Produtos e Serviços;265734259;;Pronto;;;ivr;2025-03-28 11:28:38;00:00
Estado IP Framed-Route;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Diagnóstico Smart Wi-Fi;227819301;;Falha de sistema externo;;;XITCC22;2025-03-28 11:28:38;00:00
DMZ Host;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Consulta de Controlo Parental;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Consulta Devices;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Diagnóstico global STB;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Regime de Propriedade;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:38;00:00
Regime de Propriedade;265734259;;Pronto;;;ivr;2025-03-28 11:28:38;00:00
Condição de portabilidade/mobilidade;1005418717;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Consulta configuração da LR;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Diagnóstico STB;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Regime de Propriedade;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Consulta Produtos e Serviços;1702320869;;Pronto;;;ROBOTTECH;2025-03-28 11:28:38;00:00
Informação de cliente;1702320869;;Pronto;;;ROBOTTECH;2025-03-28 11:28:38;00:00
Consulta Devices;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Estado IP Framed-Route;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Consulta de Controlo Parental;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
DMZ Host;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Diagnóstico Smart Wi-Fi;1702408253;;Falha de sistema externo;;;XTFEN93;2025-03-28 11:28:38;00:00
Diagnóstico global STB;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Estado do ONT;1702327555;;Em progresso;;;ROBOTTECH;2025-03-28 11:28:38;
Informação de cliente;1702327555;;Pronto;;;ROBOTTECH;2025-03-28 11:28:38;00:00
Consulta Produtos e Serviços;1005418717;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Interferentes;1005418717;89ET01;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Diagnóstico HGW;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Gestão PPPoE;1005418717;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Gestão PPPoE;1005418717;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Diagnóstico ADSL;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Consulta condição e facilidades;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Regime de Propriedade;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
